episode,rewards_total
1,13.3897494541
2,13.3855915581
3,13.410685251
4,11.0530545684
5,-3.61116363643
6,11.5141668281
7,-1.63000943446
8,1.16159313204
9,2.49086220474
10,4.73579671561
11,7.02098970954
12,1.74955056897
13,3.69184399337
14,9.10851300366
15,11.7491096063
16,12.389711521
17,9.78604889862
18,4.92037021158
19,6.80929091909
20,10.9702604548
21,5.05018095571
22,12.5830959335
23,10.167710915
24,9.96952568448
25,8.36764311937
26,6.32291639304
27,4.27873966133
28,1.41775898292
29,-1.88294086126
30,-4.7035155727
31,-5.31146756801
32,-14.0630974806
33,-21.6474033543
34,-26.0965624093
35,-62.7800866577
36,-63.4091068109
37,-36.1699446995
38,-54.4226702363
39,-31.7589717649
40,-27.6003866961
41,-11.1149564427
42,-11.5715305293
43,-8.75423228165
44,-9.96707239158
45,-11.4951709246
46,-4.33523251181
47,-2.27890624794
48,0.47233594347
49,2.46738481503
50,1.68154525513
51,-7.76726764806
52,2.37929373148
53,1.6055463293
54,-6.89391005061
55,-8.09580436025
56,-0.650707939885
57,17.17707696
58,3.85785621388
59,10.7357846723
60,6.33849999805
61,5.60342504984
62,17.5751288654
63,16.717207251
64,1.23361971517
65,9.65803142301
66,8.36856734401
67,10.1918909257
68,7.11551244441
69,10.1655211956
70,3.59349710095
71,9.36680676305
72,14.0298151274
73,22.6620194168
74,21.8517981452
75,21.1479976727
76,20.2695987725
77,10.9644767657
78,10.5030688517
79,3.25757591435
80,16.0470295606
81,6.9024308109
82,6.39597556642
83,12.2652081065
84,5.18777055
85,11.3987889715
86,10.6242816485
87,12.6600279263
88,13.5313286454
89,12.651591087
90,12.9330435848
91,14.0365733795
92,12.5422134271
93,8.47556364389
94,5.7070316544
95,13.325003117
96,13.3729246809
97,2.47462685413
98,5.85196236944
99,10.3368045396
100,12.9368204137
101,15.9226792316
102,-18.0760258645
103,-2.48241980973
104,9.39981266878
105,13.3859245085
106,5.85098256234
107,-0.772922558946
108,11.8525604226
109,11.2452377542
110,15.3424147318
